NAME,ID,SIZE,MODIFIED
gemma3:27b-it-q4_K_M,a418f5838eaf,17,GB 5 hours ago
qwen3:30b-a3b-q4_K_M,0b28110b7a33,18,GB 5 hours ago
deepseek-r1:32b,edba8017331d,19,GB 18 hours ago
qwen2.5-coder:32b,b92d6a0bd47e,19,GB 18 hours ago
qwen3:32b-q4_K_M,030ee887880f,20,GB 18 hours ago
qwen2.5vl:32b-q4_K_M,3edc3a52fe98,21,GB 19 hours ago
qwen3:14b-q8_0,304bf7349c71,15,GB 19 hours ago
llama3.2-vision:11b,6f2f9757ae97,7.8,GB 19 hours ago
mistral:7b-instruct,f974a74358d6,4.1,GB 19 hours ago
llama3.2:3b,a80c4f17acd5,2.0,GB 19 hours ago
llama3.1:8b,46e0c10c039e,4.9,GB 19 hours ago
deepseek-r1:7b-qwen-distill-q4_K_M,755ced02ce7b,4.7,GB 19 hours ago
qwen2-math:1.5b-instruct-fp16,d8dc2e83f294,3.1,GB 19 hours ago
qwen2-math:1.5b-instruct,a4fdda0c6cc5,934,MB 19 hours ago
qwen2-math:1.5b,a4fdda0c6cc5,934,MB 20 hours ago
nomic-embed-text:latest,0a109f422b47,274,MB 20 hours ago
paraphrase-multilingual:latest,ba13c2e06707,562,MB 20 hours ago
bge-m3:latest,790764642607,1.2,GB 20 hours ago
qwen2.5vl:7b,5ced39dfa4ba,6.0,GB 21 hours ago
qwen3:30b-a3b,0b28110b7a33,18,GB 21 hours ago
qwen3:14b,bdbd181c33f2,9.3,GB 21 hours ago
